	Density	Loading C	Loading Ion	Loading Pt	Mass atten.	Thickness	calc. GSV
272	0.6666666666666666	0.186	0.186	0.628	13.230841508263808	15	20789.362320959604
273	0.6666666666666666	0.252	0.171	0.577	12.17948115151296	15	20069.320657966175
274	0.6666666666666666	0.308	0.158	0.534	11.272686570602612	15	19448.28727598671
275	0.6673333333333332	0.357	0.147	0.497	10.493925049763536	15	18922.126408550466
276	0.6666666666666666	0.399	0.137	0.464	9.808162639585888	15	18445.283653097722
277	0.6673333333333332	0.436	0.129	0.436	9.234024137790389	15	18058.39940649921
278	0.666	0.468	0.121	0.41	8.694522706590718	15	17676.63419553611
279	0.6666666666666666	0.497	0.115	0.388	8.256721779246295	15	17382.753522546478
280	0.6666666666666666	0.01	0.204	0.786	16.53980525496077	15	23055.5612922808
281	0.6666666666666666	0.097	0.186	0.717	15.102405700560553	15	22071.13425079057
282	0.6673333333333334	0.171	0.171	0.659	13.863475483429468	15	21232.12687499415
283	0.6666666666666666	0.233	0.158	0.609	12.844638552986396	15	20524.864790321946
284	0.6666666666666666	0.287	0.147	0.566	11.954879067966957	15	19915.498177681635
285	0.666	0.333	0.137	0.529	11.182464543636257	15	19378.838719901232
286	0.6666666666666666	0.374	0.129	0.497	10.515385869278688	15	18929.637269006664
287	0.666	0.41	0.121	0.468	9.907639056258951	15	18506.626323261553
288	0.6673333333333334	0.443	0.115	0.443	9.39100408711894	15	18166.017251463993
289	0.6673333333333332	0.472	0.109	0.42	8.912832911327225	15	17838.206268704176
290	0.6666666666666666	0.009	0.186	0.805	16.933217015813938	15	23324.99589356377
291	0.6666666666666666	0.089	0.171	0.74	15.58207763572387	15	22399.64557011942
292	0.6666666666666666	0.158	0.158	0.684	14.400171071562468	15	21590.197161210748
293	0.6666666666666666	0.217	0.147	0.636	13.415911961497287	15	20916.11090536411
294	0.6666666666666666	0.268	0.137	0.595	12.534642554937736	15	20312.558864458355
295	0.6666666666666666	0.313	0.129	0.558	11.796825101202874	15	19807.252284310474
296	0.6666666666666666	0.353	0.121	0.526	11.103500746827958	15	19332.41754481091
297	0.6666666666666666	0.388	0.115	0.497	10.532154020967809	15	18941.12121716015
298	0.6673333333333332	0.42	0.109	0.472	9.986497033538555	15	18574.25835397114
299	0.666	0.448	0.103	0.448	9.488723426199371	15	18220.011873439253
300	0.6659999999999999	0.03	0.939	0.03	0.42739713294276527	15	12020.41733973162
301	0.6666666666666666	0.256	0.721	0.023	0.383061220683238	15	11990.345861338594
